# Frases do John, ROTULADAS — 2026-09-11. Aguardando conferencia dele.
#
# Formato: ferramenta | pedido | argumento
#
# O argumento e sempre um trecho EXATO do pedido, e isso nao e estilo: a cabeca
# de ponteiro COPIA um trecho: ela nao inventa texto. Conferido por teste aqui.
#
# `perguntar` domina (94 de 196) por um motivo so: o argumento obrigatorio nao
# esta escrito no pedido. "apaga esse arquivo aqui" nao tem arquivo para copiar,
# e nao ha resposta certa alem de perguntar qual.
#
#   perguntar            94
#   buscar_web           12
#   abrir_programa       12
#   processos            12
#   rede                 12
#   atalho               12
#   buscar_no_conteudo   11
#   executar_comando     9
#   criar_pasta          8
#   mover_arquivo        6
#   copiar_arquivo       4
#   escrever_arquivo     3
#   apagar_arquivo       1

buscar_web | Teka, pesquisa ai pra mim como que faz pra reutilizar um html no python | como que faz pra reutilizar um html no python
mover_arquivo | Teka, renomeia esse negócio pra backup | backup
mover_arquivo | move essa pasta pra unidade E | unidade E
perguntar | tira esse arquivo daqui e coloca lá | 
perguntar | muda o nome desse arquivo ai | 
criar_pasta | cria uma pasta chamada projetos | projetos
perguntar | faz uma pasta nova na área de trabalho | 
criar_pasta | cria uma pasta de backup ai | backup
perguntar | Teka, monta uma pasta pra guardar meus jogos | 
criar_pasta | mano, faz uma pasta chamada estudos dentro de documentos | estudos
criar_pasta | cria uma pasta chamada teste | teste
criar_pasta | abre uma pasta nova chamada imagens | imagens
perguntar | faz uma pasta pra esse projeto ai | 
criar_pasta | cria uma pasta chamada arquivos antigos | arquivos antigos
criar_pasta | faz uma pasta dentro de documentos chamada escola | escola
perguntar | cria uma pasta pra guardar os txt | 
criar_pasta | monta uma pasta chamada nyxara | nyxara
perguntar | quanto pesa esse arquivo aqui | 
perguntar | me diz o tamanho desse pdf | 
perguntar | vê ai a data daquele relatório | 
perguntar | Teka, quando foi que esse arquivo foi criado? | 
perguntar | qual o tamanho dessa pasta do projeto? | 
perguntar | Teka, me mostra as informações desse txt | 
perguntar | Teka, esse arquivo é grande? | 
perguntar | quando mexeram nesse arquivo pela última vez? | 
perguntar | me diz o tamanho dessa imagem ai | 
perguntar | Teka, qual foi a última vez que alteraram esse arquivo? | 
perguntar | quanto espaço esse arquivo tá ocupando? | 
perguntar | olha a data desse arquivo pra mim | 
perguntar | apaga esse arquivo aqui | 
perguntar | pode deletar aquele txt de teste | 
perguntar | tira esse arquivo da pasta ai | 
perguntar | exclui o relatório antigo | 
perguntar | apaga essa imagem que não serve mais | 
apagar_arquivo | deleta o arquivo chamado teste | teste
perguntar | remove esse negócio daqui | 
perguntar | joga esse arquivo fora | 
perguntar | apaga o backup velho | 
perguntar | pode excluir esse arquivo? | 
perguntar | tira esse txt daqui | 
perguntar | apaga esse arquivo de teste ai | 
processos | quais programas tão rodando agora | 
processos | me mostra o que tá aberto no pc | 
processos | vê ai se tem algum programa pesado rodando | 
processos | lista os processos do windows | 
processos | mano, o que tá usando o computador agora? | 
processos | quais programas estão ativos ai? | 
processos | me mostra os programas em segundo plano | 
processos | Teka, tem algum processo estranho rodando? | 
processos | lista os processos pra mim | 
processos | o que tá rodando nessa máquina? | 
processos | vê o que tá consumindo o pc | 
processos | me mostra os programas que tão abertos | 
rede | qual meu ip? | 
rede | vê se a internet tá funcionando | 
rede | me mostra o estado da rede ai | 
rede | qual é o ip desse pc? | 
rede | mano, a conexão tá normal? | 
rede | me diz como tá a rede aqui | 
rede | tô conectado na internet? | 
rede | qual o endereço ip da máquina? | 
rede | vê ai se a rede tá funcionando | 
rede | verifica a conexão | 
rede | me mostra as informações da rede | 
rede | mano, olha o ip desse computador | 
buscar_no_conteudo | Teka, procura dentro dos arquivos onde aparece nyxara | nyxara
buscar_no_conteudo | vê ai nos arquivos se tem escrito banco de dados | banco de dados
buscar_no_conteudo | procura aquele erro de cors dentro do projeto | erro de cors
buscar_no_conteudo | acha nos txt onde fala de estágio | estágio
buscar_no_conteudo | mano, busca por localhost dentro dos arquivos | localhost
buscar_no_conteudo | tem algum arquivo que fala de sqlite? | sqlite
buscar_no_conteudo | procura a palavra senha nos arquivos | senha
buscar_no_conteudo | vê onde aparece a função calcularMedia | calcularMedia
buscar_no_conteudo | procura dentro do projeto por import discord | import discord
buscar_no_conteudo | Teka, acha nos arquivos onde tá escrito relatório final | relatório final
buscar_no_conteudo | busca por uma função chamada main | main
perguntar | vê ai dentro dos arquivos se tem esse texto | 
perguntar | Teka, olha essa imagem ai e me fala o que tem | 
perguntar | me descreve essa foto | 
perguntar | o que aparece nessa imagem? | 
perguntar | vê essa print aqui | 
perguntar | Teka, me diz o que tá escrito nessa imagem | 
perguntar | Teka, olha essa foto e explica o que tem nela | 
perguntar | consegue identificar o que tem nessa imagem? | 
perguntar | me fala o que você tá vendo nessa foto | 
perguntar | Teka, descreve essa imagem pra mim | 
perguntar | vê essa print e me diz qual é o problema | 
perguntar | olha essa imagem ai e me explica | 
perguntar | lê o que tá escrito nessa foto | 
atalho | aumenta o volume | aumenta o volume
atalho | abaixa o som ai | abaixa o som
atalho | muta o pc | muta o pc
atalho | pausa a música ai | pausa a música
atalho | volta a música | volta a música
atalho | pula pra próxima | próxima
atalho | aumenta o volume um pouco | aumenta o volume
atalho | tira o mudo | tira o mudo
atalho | diminui o volume ai | diminui o volume
atalho | pausa o som | pausa o som
atalho | passa a música | passa a música
atalho | Teka, coloca a música pra tocar | coloca a música
escrever_arquivo | escreve oi mundo num arquivo chamado teste.txt | teste.txt
perguntar | cria um txt com meu nome dentro | 
perguntar | salva esse texto num arquivo na área de trabalho | 
perguntar | escreve esse código num arquivo python | 
escrever_arquivo | faz um arquivo chamado notas.txt e coloca isso dentro | notas.txt
perguntar | Teka, grava essa mensagem num txt | 
perguntar | cria um arquivo com esse texto aqui | 
perguntar | salva minhas anotações num arquivo | 
escrever_arquivo | escreve isso no arquivo config.json | config.json
perguntar | cria um arquivo python com esse código | 
perguntar | coloca essa lista num arquivo txt | 
perguntar | salva o relatório nesse arquivo aqui | 
executar_comando | roda o comando dir ai | dir
executar_comando | executa o python --version | python --version
executar_comando | abre o terminal e roda ipconfig | ipconfig
perguntar | Teka, executa esse comando aqui | 
executar_comando | Teka, roda npm install nesse projeto | npm install
executar_comando | faz o pip install requests | pip install requests
perguntar | Teka, executa o comando pra ver os arquivos da pasta | 
executar_comando | roda o git status | git status
executar_comando | abre o python pelo terminal | python
executar_comando | executa o comando ollama list | ollama list
perguntar | Teka, roda esse negócio aqui no cmd | 
executar_comando | executa npm start | npm start
perguntar | faz aquele negócio lá | 
perguntar | vê isso aí | 
perguntar | resolve isso pra mim | 
perguntar | Teka, pega aquele arquivo | 
perguntar | coloca lá na pasta | 
perguntar | arruma isso aí | 
perguntar | mexe naquele negócio | 
perguntar | olha aquele trem lá | 
perguntar | deixa tudo certo aí | 
perguntar | faz o que tem que fazer | 
perguntar | pega isso e faz lá | 
perguntar | manda pra lá | 
perguntar | coloca isso ali | 
perguntar | Teka, tira aquele negócio | 
perguntar | salva lá | 
perguntar | escreve aquilo | 
perguntar | roda aquele comando | 
perguntar | Teka, executa isso aí | 
perguntar | resolve esse erro | 
perguntar | conserta isso | 
perguntar | deixa igual antes | 
perguntar | muda esse negócio | 
perguntar | vê o que dá pra fazer | 
perguntar | faz aí rapidão | 
perguntar | dá um jeito nisso | 
perguntar | Teka, vê lá pra mim | 
perguntar | faz igual aquele outro | 
perguntar | arruma lá | 
