# Exemplos escritos à mão — destilação.
#
# Moldes multiplicam o mesmo esqueleto com valores diferentes. Estas frases são
# genuinamente distintas umas das outras, que é onde o gerador por moldes não
# alcança.
#
# formato:  ferramenta | pedido | argumento1 | argumento2
#
# Os argumentos são localizados por busca de substring no pedido. Um exemplo cujo
# argumento não apareça literalmente é descartado no carregamento.
#
# NUNCA copie frases de dados/frases_teste.txt para cá — aquilo é o benchmark, e
# um teste quebra se acontecer.

# ---------------------------------------------------------------- hora
hora | consegue me dizer as horas
hora | consegue me falar as horas
hora | sabe dizer que horas sao
hora | me fala as horas ai
hora | ta na hora de quanto
hora | horario atual
hora | data de hoje
hora | dia de hoje
hora | que horas o computador marca
hora | ve no relogio do sistema
hora | preciso do dia e da hora
hora | qual e o dia de hoje mesmo
hora | to perdido no dia, me situa
hora | anda, que horas sao
hora | rapido, me diz a hora
hora | to atrasado, que horas
hora | quantas horas sao agora
hora | hoje e segunda ou terca
hora | em que mes estamos
hora | qual o ano corrente
hora | ja passou do meio dia
hora | e de manha ainda
hora | data e hora completas por favor
hora | so a hora, por favor
hora | me atualiza o relogio
hora | consulta a hora do sistema
hora | verifica a data
hora | descobre que dia e hoje
hora | informa o dia e a hora
hora | diz o horario
hora | fala a data
hora | mostra a hora
hora | ver as horas
hora | checar data
hora | dia e hora
hora | horas
hora | que data e essa de hoje
hora | to sem nocao de tempo aqui
hora | qual o momento atual
hora | preciso registrar a hora

# ---------------------------------------------------------------- listar_pasta
listar_pasta | o que tem guardado dentro de src | src
escrever_arquivo | registra comprar pao em notas.md | notas.md | comprar pao
escrever_arquivo | faz um leia_me.txt escrito reuniao amanha | leia_me.txt | reuniao amanha
escrever_arquivo | bota anotacao rapida no notas.md | notas.md | anotacao rapida
escrever_arquivo | cria lista_de_compras.txt com teste | lista_de_compras.txt | teste
escrever_arquivo | manda ola pro arquivo leia_me.txt | leia_me.txt | ola
escrever_arquivo | salva no anotacoes\ideias.md o texto lembrete | anotacoes\ideias.md | lembrete
escrever_arquivo | quero gravar senha antiga dentro de C:\temp\saida.log | C:\temp\saida.log | senha antiga
escrever_arquivo | acrescenta comprar pao ao notas.md | notas.md | comprar pao
escrever_arquivo | deixa teste escrito no lista_de_compras.txt | lista_de_compras.txt | teste
escrever_arquivo | poe no leia_me.txt a frase reuniao amanha | leia_me.txt | reuniao amanha

# ---------------------------------------------------------------- executar_comando
executar_comando | manda um dir | dir
executar_comando | solta um hostname no terminal | hostname
executar_comando | roda ali o ver | ver
executar_comando | dispara tasklist | tasklist
executar_comando | executa no prompt o echo ola | echo ola
executar_comando | chama date /t | date /t
executar_comando | quero rodar dir no console | dir
executar_comando | joga um hostname ai | hostname
executar_comando | aciona ver pra mim | ver
executar_comando | processa o comando tasklist | tasklist
executar_comando | consegue disparar echo ola | echo ola
executar_comando | roda date /t no sistema | date /t
executar_comando | terminal: dir | dir
executar_comando | por favor executa hostname | hostname
executar_comando | poe pra rodar o ver | ver
executar_comando | tasklist no prompt | tasklist
executar_comando | me roda um echo ola rapidinho | echo ola
executar_comando | pode chamar date /t | date /t
executar_comando | quero que voce rode dir | dir
executar_comando | lanca o comando hostname | hostname

# ── Lote do gerador (qwen2.5-7b), revisado ────────────────────────────
# 242 linhas aceitas pelos 4 filtros e revisadas a mao.
# 14 cortadas: conteudo generico, recorte errado, nao-pedido.
listar_pasta | mostra o que tem em c:\users\user\projetos | c:\users\user\projetos
listar_pasta | diga-me qual são os arquivos na pasta dados | dados
listar_pasta | preciso ver o conteúdo do diretorio target\release | target\release
listar_pasta | vou precisar dos nomes dos arquivos em dados | dados
listar_pasta | olha na pasta c:\users\user\projetos para mim | c:\users\user\projetos
listar_pasta | dá uma olhada nos arquivos em dados pra mim | dados
ler_arquivo | você pode ler o cargo.toml pra mim | cargo.toml
ler_arquivo | preciso ver o orcamento.csv | orcamento.csv
ler_arquivo | mostra pro eu aí o conteúdo do cargo.toml | cargo.toml
ler_arquivo | conseguiu ler o anotacoes\ideias.md pra mim? | anotacoes\ideias.md
ler_arquivo | vai lá, le o arquivo orcamento.csv pra mim! | orcamento.csv
procurar_arquivo | preciso encontrar o fatura_2025 | fatura_2025
procurar_arquivo | ache o backup_último | backup_último
procurar_arquivo | onde salvei a planilha_orcamento | planilha_orcamento
procurar_arquivo | busque o documento orcamento | orcamento
procurar_arquivo | faça a busca por backup_recente | backup_recente
procurar_arquivo | ache onde está a fatura_2026 | fatura_2026
procurar_arquivo | me mostre o arquivo com backup | backup
calcular | tira o resultado de 15*340 | 15*340
calcular | resolve pra mim 45+55 | 45+55
calcular | calcula o total de 99-33 | 99-33
calcular | me ajuda com (12+8)*5 | (12+8)*5
calcular | faz a conta rapida 2,5*4 | 2,5*4
calcular | qual o resultado de 1000/25 | 1000/25
calcular | vai lá e calcula 15*340 | 15*340
calcular | preciso do total de 45+55 | 45+55
calcular | me resolva isso aqui 99-33 | 99-33
calcular | faz o resultado de (12+8)*5 | (12+8)*5
calcular | ajuda com a conta rapida 2,5*4 | 2,5*4
calcular | resolve pra mim o total de 1000/25 | 1000/25
escrever_arquivo | adiciona comprar pão no notas.md | notas.md | comprar pão
escrever_arquivo | anota isso em lista_de_compras.txt: teste | lista_de_compras.txt | teste
escrever_arquivo | registra comprar pão no arquivo lista_de_compras.txt | lista_de_compras.txt | comprar pão
escrever_arquivo | insere a palavra olá em notas.md | notas.md | olá
escrever_arquivo | grava na memória do notas.md o texto ola | notas.md | ola
escrever_arquivo | adiciona na lista_de_compras.txt: teste | lista_de_compras.txt | teste
escrever_arquivo | insere um novo item: comprar pão na lista_de_compras.txt | lista_de_compras.txt | comprar pão
executar_comando | quero ver o tasklist no prompt | tasklist
executar_comando | vamos lá roda ali o ver | ver
executar_comando | executa um echo ola rapidinho pra mim | echo ola
executar_comando | preciso de um comando date /t aqui | date /t
executar_comando | vai rodar um echo ola para iniciar | echo ola
executar_comando | rodando uma coisa simples como echo ola | echo ola
listar_pasta | mostre o conteúdo de src\model | src\model
listar_pasta | veja o que tem em c:\users\user\downloads | c:\users\user\downloads
listar_pasta | quero ver as coisas que estão no diretorio dados | dados
listar_pasta | dê uma olhada geral na pasta anotacoes | anotacoes
listar_pasta | mostre-me os arquivos e pastas da src\model | src\model
listar_pasta | navegue pela pasta dados | dados
listar_pasta | dê uma vista na pasta anotacoes | anotacoes
listar_pasta | verifique as coisas dentro do diretorio src\model | src\model
listar_pasta | examine a estrutura da pasta dados | dados
listar_pasta | mostre a hierarquia de anotacoes | anotacoes
listar_pasta | mostra o conteúdo da pasta src\model | src\model
listar_pasta | inspeciona a estrutura de c:\users\user\downloads | c:\users\user\downloads
listar_pasta | olha no que tem dentro do diretório dados | dados
listar_pasta | forneça uma lista dos elementos da pasta anotacoes | anotacoes
listar_pasta | que tal verificarmos o que há na pasta src\model | src\model
listar_pasta | quero listar o conteúdo de dados | dados
listar_pasta | você consegue dar uma olhada no diretorio anotacoes | anotacoes
listar_pasta | poderia mostrar os arquivos e pastas do diretório src\model | src\model
listar_pasta | me dê um relatório das pastas dentro de dados | dados
listar_pasta | você pode me informar sobre a estrutura interna da pasta anotacoes | anotacoes
ler_arquivo | preciso conferir o script.py | script.py
ler_arquivo | vou precisar olhar o projeto.txt | projeto.txt
ler_arquivo | queria ler o arquivo de configuração.config | configuração.config
ler_arquivo | deixa eu olhar a planilha_dados.csv | planilha_dados.csv
ler_arquivo | me abre o documento_notas.txt e mostra | documento_notas.txt
ler_arquivo | preciso visualizar o arquivo_importantes.txt | arquivo_importantes.txt
ler_arquivo | vou precisar ler o documento.docx | documento.docx
ler_arquivo | olha só se o texto.txt tá tudo certo | texto.txt
ler_arquivo | preciso olhar dentro do relatorio_final_v3.txt | relatorio_final_v3.txt
ler_arquivo | rode uma leitura no orcamento.csv se puder | orcamento.csv
ler_arquivo | desça o conteúdo do c:\temp\saida.log pra eu conferir | c:\temp\saida.log
ler_arquivo | me dê uma olhada no arquivo inventario_2023.txt | inventario_2023.txt
ler_arquivo | consegue mostrar pra mim o relatorio_versao4.txt? | relatorio_versao4.txt
ler_arquivo | vou precisar do conteúdo de config.ini, você consegue? | config.ini
ler_arquivo | tem como me mostrar o que tem dentro de planilha_orcamentaria.xlsx? | planilha_orcamentaria.xlsx
procurar_arquivo | você sabe onde tá guardada aquela planilha_contas | planilha_contas
procurar_arquivo | precisa encontrar aquele orcamento_07 | orcamento_07
procurar_arquivo | me ajuda a encontrar o backup_de_dados | backup_de_dados
procurar_arquivo | o arquivo compras2026 ta escondido aqui? | compras2026
procurar_arquivo | ta esquecido na maquina aquela foto_pets | foto_pets
procurar_arquivo | preciso encontrar o backup_importante | backup_importante
procurar_arquivo | tem o contrato_2023 guardado aqui? | contrato_2023
procurar_arquivo | tem uma planilha_importantíssima por aqui, certo? | planilha_importantíssima
calcular | preciso do resultado de (12+8)*5 | (12+8)*5
calcular | qual é o valor de 3^4? | 3^4
calcular | me conta quantos são 99-33 | 99-33
calcular | (1024*8) tá complicado, resolve pra mim | 1024*8
calcular | faz a conta aqui: 2+2 | 2+2
calcular | qual é a resposta certa para (12+8)*5? | (12+8)*5
calcular | como resolve 99-33 pra mim? | 99-33
calcular | responde quantos são: 1024*8 | 1024*8
calcular | preciso saber o valor de 2+2 | 2+2
calcular | resolve a conta 3^4 para mim | 3^4
calcular | me dá o resultado final de (12+8)*5 | (12+8)*5
calcular | qual é 99-33? | 99-33
calcular | faz essa contagem pra mim: 1024*8 | 1024*8
calcular | preciso da conta resolvida de 2+2 | 2+2
calcular | mostra a potencia: 3^4 | 3^4
calcular | responde esse calculo (12+8)*5 | (12+8)*5
calcular | preciso da resposta de 3^4 aqui | 3^4
calcular | vai resolver isso pra mim, 99-33 | 99-33
calcular | me conta quanto é 2+2 | 2+2
calcular | resolva aqui 1024*8 | 1024*8
calcular | mostra o resultado de 3^4 por favor | 3^4
calcular | ache o valor correto de (12+8)*5 | (12+8)*5
calcular | me ajuda com essa conta, 99-33 | 99-33
calcular | quer saber quanto é 2+2? | 2+2
calcular | preciso do resultado de 1024*8 | 1024*8
calcular | faça o calculo 3^4 pra mim | 3^4
calcular | resolve essa expressão (12+8)*5 | (12+8)*5
calcular | você pode me dizer quanto é 99-33? | 99-33
calcular | me de um helping hand com 2+2 | 2+2
calcular | quero saber qual o resultado de 1024*8 | 1024*8
escrever_arquivo | coloca na memoria.db o texto compras | memoria.db | compras
escrever_arquivo | salve os arquivos em config.ini com o texto update | config.ini | update
escrever_arquivo | gravando mensagem importante em logs\log_importantes.txt | logs\log_importantes.txt | mensagem importante
escrever_arquivo | colocar no arquivo notas.txt a frase compromissos diarios | notas.txt | compromissos diarios
escrever_arquivo | faz um arq.txt com o texto arquivo criado | arq.txt | arquivo criado
escrever_arquivo | insere no log.txt a informação login efetuado | log.txt | login efetuado
executar_comando | executa tasklist | tasklist
executar_comando | roda ver | ver
executar_comando | manda executar echo ola rapidinho | echo ola
executar_comando | rode ver | ver
executar_comando | dispara o comando date /t | date /t
executar_comando | executa ver | ver
executar_comando | faça tasklist | tasklist
executar_comando | rode o ver aqui | ver
executar_comando | vou rodar o comando date /t | date /t
executar_comando | chamo date /t no sistema | date /t
executar_comando | dá play no comando date /t | date /t
executar_comando | rodando o ver | ver
executar_comando | execute o echo ola rapidinho | echo ola
executar_comando | faça date /t no sistema | date /t

# ── perguntar: escritos a mao ───────────────────────────────────────────────
# Nenhuma destas esta nos MOLDES nem no benchmark. Registro curto e seco,
# igual ao resto dos escritos a mao — de proposito, porque foi justamente esse
# registro que o lote do gerador diluiu.
perguntar | oi teka
perguntar | ola, tudo certo
perguntar | fala comigo
perguntar | ta acordada
perguntar | como voce funciona
perguntar | voce e uma ia mesmo
perguntar | quantos anos voce tem
perguntar | do que voce gosta
perguntar | brigado
perguntar | tchau
perguntar | ate amanha
perguntar | boa tarde pra voce
perguntar | poe musica
perguntar | toca spotify
perguntar | pausa a musica
perguntar | envia um email
perguntar | quero usar o chrome
perguntar | quero navegar na internet
perguntar | quero assistir um video
perguntar | usa a impressora
perguntar | conecta no wifi
perguntar | atualiza o windows
perguntar | instala esse programa
perguntar | deixa isso bonito
perguntar | revisa isso pra mim
perguntar | inventa uma historia
perguntar | o mercado esta aberto
perguntar | vai fazer calor
perguntar | faz isso
perguntar | aquilo que eu falei
perguntar | sei la, tenta ai
perguntar | do jeito de sempre
perguntar | igual da outra vez
perguntar | pode ser qualquer um
